event_name,date,day,station,type,am_peak,midday,pm_peak,env,sum
2009 Inauguration,1/20/2009,Tue,McPherson Sq.,Entry,70.0,4761.0,10040.0,3657.0,18528.0
2009 Inauguration,1/20/2009,Tue,McPherson Sq.,Exit,6453.0,6246.0,1788.0,1724.0,16211.0
2009 Inauguration,1/20/2009,Tue,Medical Center,Entry,1826.0,506.0,410.0,179.0,2921.0
2009 Inauguration,1/20/2009,Tue,Medical Center,Exit,259.0,817.0,912.0,288.0,2276.0
2009 Inauguration,1/20/2009,Tue,Metro Center,Entry,4925.0,15067.0,26580.0,10641.0,57213.0
2009 Inauguration,1/20/2009,Tue,Metro Center,Exit,32041.0,19516.0,4213.0,3882.0,59652.0
2009 Inauguration,1/20/2009,Tue,Minnesota Ave,Entry,1481.0,911.0,410.0,280.0,3082.0
2009 Inauguration,1/20/2009,Tue,Minnesota Ave,Exit,111.0,727.0,952.0,593.0,2383.0
2009 Inauguration,1/20/2009,Tue,Morgan Boulevard,Entry,6252.0,762.0,153.0,134.0,7301.0
2009 Inauguration,1/20/2009,Tue,Morgan Boulevard,Exit,64.0,1568.0,2151.0,361.0,4144.0
2009 Inauguration,1/20/2009,Tue,Mt. Vernon Sq.-UDC,Entry,612.0,0.0,1.0,3.0,616.0
2009 Inauguration,1/20/2009,Tue,Mt. Vernon Sq.-UDC,Exit,530.0,20.0,1.0,2.0,553.0
2009 Inauguration,1/20/2009,Tue,Nation Airport,Entry,2543.0,2927.0,2219.0,2332.0,10021.0
2009 Inauguration,1/20/2009,Tue,Nation Airport,Exit,1288.0,3108.0,3343.0,833.0,8572.0
2009 Inauguration,1/20/2009,Tue,Navy Yard,Entry,1569.0,9306.0,5150.0,442.0,16467.0
2009 Inauguration,1/20/2009,Tue,Navy Yard,Exit,834.0,681.0,560.0,436.0,2511.0
2009 Inauguration,1/20/2009,Tue,Naylor Road,Entry,4229.0,1110.0,472.0,253.0,6064.0
2009 Inauguration,1/20/2009,Tue,Naylor Road,Exit,152.0,1378.0,1651.0,745.0,3926.0
2009 Inauguration,1/20/2009,Tue,New Carrolton,Entry,17664.0,3740.0,662.0,548.0,22614.0
2009 Inauguration,1/20/2009,Tue,New Carrolton,Exit,334.0,1740.0,832.0,2400.0,5306.0
2009 Inauguration,1/20/2009,Tue,New York Avenue,Entry,1993.0,1988.0,3047.0,817.0,7845.0
2009 Inauguration,1/20/2009,Tue,New York Avenue,Exit,563.0,1473.0,1278.0,938.0,4252.0
2009 Inauguration,1/20/2009,Tue,Pentagon,Entry,2041.0,1931.0,962.0,302.0,5236.0
2009 Inauguration,1/20/2009,Tue,Pentagon,Exit,1073.0,1120.0,1430.0,729.0,4352.0
2009 Inauguration,1/20/2009,Tue,Pentagon City,Entry,7017.0,4069.0,4664.0,2512.0,18262.0
2009 Inauguration,1/20/2009,Tue,Pentagon City,Exit,1281.0,5165.0,6073.0,3199.0,15718.0
2009 Inauguration,1/20/2009,Tue,Potomac Ave,Entry,2135.0,1859.0,2329.0,575.0,6898.0
2009 Inauguration,1/20/2009,Tue,Potomac Ave,Exit,302.0,817.0,990.0,821.0,2930.0
2009 Inauguration,1/20/2009,Tue,Prince Georges Plaza,Entry,4100.0,1478.0,766.0,501.0,6845.0
2009 Inauguration,1/20/2009,Tue,Prince Georges Plaza,Exit,252.0,2053.0,3158.0,1057.0,6520.0
2009 Inauguration,1/20/2009,Tue,Rhode Island Ave.,Entry,3980.0,1439.0,815.0,608.0,6842.0
2009 Inauguration,1/20/2009,Tue,Rhode Island Ave.,Exit,725.0,1757.0,1552.0,1222.0,5256.0
2009 Inauguration,1/20/2009,Tue,Rockville,Entry,3665.0,1087.0,621.0,311.0,5684.0
2009 Inauguration,1/20/2009,Tue,Rockville,Exit,310.0,1020.0,1758.0,936.0,4024.0
2009 Inauguration,1/20/2009,Tue,Rosslyn,Entry,7998.0,3668.0,3803.0,1876.0,17345.0
2009 Inauguration,1/20/2009,Tue,Rosslyn,Exit,1419.0,3672.0,5031.0,2381.0,12503.0
2009 Inauguration,1/20/2009,Tue,Shady Grove,Entry,19889.0,2960.0,918.0,654.0,24421.0
2009 Inauguration,1/20/2009,Tue,Shady Grove,Exit,444.0,4301.0,4791.0,4040.0,13576.0
2009 Inauguration,1/20/2009,Tue,Shaw-Howard Univ,Entry,3744.0,2110.0,2095.0,1136.0,9085.0
2009 Inauguration,1/20/2009,Tue,Shaw-Howard Univ,Exit,1056.0,2170.0,2204.0,1933.0,7363.0
2009 Inauguration,1/20/2009,Tue,Silver Spring,Entry,15690.0,3881.0,1598.0,1386.0,22555.0
2009 Inauguration,1/20/2009,Tue,Silver Spring,Exit,847.0,4678.0,3920.0,3304.0,12749.0
2009 Inauguration,1/20/2009,Tue,Smithsonian,Entry,1.0,0.0,1021.0,825.0,1847.0
2009 Inauguration,1/20/2009,Tue,Smithsonian,Exit,1.0,0.0,128.0,827.0,956.0
2009 Inauguration,1/20/2009,Tue,Southern Avenue,Entry,5455.0,1532.0,425.0,368.0,7780.0
2009 Inauguration,1/20/2009,Tue,Southern Avenue,Exit,240.0,2218.0,1977.0,1107.0,5542.0
2009 Inauguration,1/20/2009,Tue,Spring Hill,Entry,,,,,
2009 Inauguration,1/20/2009,Tue,Spring Hill,Exit,,,,,
2009 Inauguration,1/20/2009,Tue,Stadium Armory,Entry,2711.0,1467.0,1978.0,3764.0,9920.0
2009 Inauguration,1/20/2009,Tue,Stadium Armory,Exit,299.0,1584.0,3038.0,2726.0,7647.0
2009 Inauguration,1/20/2009,Tue,Suitland,Entry,5916.0,1527.0,337.0,283.0,8063.0
2009 Inauguration,1/20/2009,Tue,Suitland,Exit,292.0,2069.0,1940.0,1102.0,5403.0
2009 Inauguration,1/20/2009,Tue,Takoma,Entry,6873.0,1775.0,705.0,673.0,10026.0
2009 Inauguration,1/20/2009,Tue,Takoma,Exit,309.0,2497.0,3358.0,1695.0,7859.0
2009 Inauguration,1/20/2009,Tue,Tenleytown,Entry,6354.0,1419.0,1419.0,1207.0,10399.0
2009 Inauguration,1/20/2009,Tue,Tenleytown,Exit,491.0,3297.0,4520.0,1689.0,9997.0
2009 Inauguration,1/20/2009,Tue,Twinbrook,Entry,2217.0,809.0,408.0,215.0,3649.0
2009 Inauguration,1/20/2009,Tue,Twinbrook,Exit,196.0,858.0,1645.0,786.0,3485.0
2009 Inauguration,1/20/2009,Tue,Tysons,Entry,,,,,
2009 Inauguration,1/20/2009,Tue,Tysons,Exit,,,,,
2009 Inauguration,1/20/2009,Tue,U Street-Cardozo,Entry,5317.0,2347.0,3397.0,4166.0,15227.0
2009 Inauguration,1/20/2009,Tue,U Street-Cardozo,Exit,1007.0,2851.0,3418.0,3829.0,11105.0
2009 Inauguration,1/20/2009,Tue,Union Station,Entry,3348.0,18938.0,8463.0,6953.0,37702.0
2009 Inauguration,1/20/2009,Tue,Union Station,Exit,26300.0,7607.0,2274.0,5798.0,41979.0
2009 Inauguration,1/20/2009,Tue,Van Dorn Street,Entry,5263.0,1217.0,522.0,344.0,7346.0
2009 Inauguration,1/20/2009,Tue,Van Dorn Street,Exit,238.0,1704.0,3132.0,1428.0,6502.0
2009 Inauguration,1/20/2009,Tue,Van Ness,Entry,4746.0,1224.0,926.0,861.0,7757.0
2009 Inauguration,1/20/2009,Tue,Van Ness,Exit,286.0,1935.0,2302.0,1424.0,5947.0
2009 Inauguration,1/20/2009,Tue,Vienna,Entry,16565.0,3027.0,1125.0,608.0,21325.0
2009 Inauguration,1/20/2009,Tue,Vienna,Exit,247.0,2647.0,2608.0,3151.0,8653.0
2009 Inauguration,1/20/2009,Tue,Virginia Square,Entry,2100.0,647.0,371.0,283.0,3401.0
2009 Inauguration,1/20/2009,Tue,Virginia Square,Exit,327.0,695.0,1161.0,689.0,2872.0
2009 Inauguration,1/20/2009,Tue,Waterfront,Entry,1161.0,1953.0,2328.0,982.0,6424.0
2009 Inauguration,1/20/2009,Tue,Waterfront,Exit,1135.0,313.0,437.0,851.0,2736.0
2009 Inauguration,1/20/2009,Tue,West Falls Church,Entry,10644.0,2163.0,909.0,532.0,14248.0
2009 Inauguration,1/20/2009,Tue,West Falls Church,Exit,505.0,3080.0,6266.0,2232.0,12083.0
2009 Inauguration,1/20/2009,Tue,West Hyattsville,Entry,2540.0,1048.0,346.0,219.0,4153.0
2009 Inauguration,1/20/2009,Tue,West Hyattsville,Exit,164.0,1073.0,1679.0,770.0,3686.0
2009 Inauguration,1/20/2009,Tue,Wheaton,Entry,4113.0,1198.0,534.0,393.0,6238.0
2009 Inauguration,1/20/2009,Tue,Wheaton,Exit,249.0,1742.0,1878.0,1130.0,4999.0
2009 Inauguration,1/20/2009,Tue,White Flint,Entry,2876.0,675.0,352.0,248.0,4151.0
2009 Inauguration,1/20/2009,Tue,White Flint,Exit,215.0,983.0,729.0,523.0,2450.0
2009 Inauguration,1/20/2009,Tue,Wiehle Ave,Entry,,,,,
2009 Inauguration,1/20/2009,Tue,Wiehle Ave,Exit,,,,,
2009 Inauguration,1/20/2009,Tue,Woodley Park-Zoo,Entry,5056.0,1738.0,2367.0,3148.0,12309.0
2009 Inauguration,1/20/2009,Tue,Woodley Park-Zoo,Exit,886.0,3284.0,4165.0,3706.0,12041.0
2017 Inauguration,1/20/2017,Fri,Addison Road,Entry,595.0,452.0,252.0,128.0,1427.0
2017 Inauguration,1/20/2017,Fri,Addison Road,Exit,153.0,316.0,595.0,423.0,1487.0
2017 Inauguration,1/20/2017,Fri,Anacostia,Entry,1345.0,1491.0,717.0,417.0,3970.0
2017 Inauguration,1/20/2017,Fri,Anacostia,Exit,411.0,1210.0,1321.0,963.0,3905.0
2017 Inauguration,1/20/2017,Fri,Archives-Navy Memorial,Entry,0.0,0.0,0.0,0.0,0.0
2017 Inauguration,1/20/2017,Fri,Archives-Navy Memorial,Exit,0.0,0.0,0.0,0.0,0.0
2017 Inauguration,1/20/2017,Fri,Arlington Cemetery,Entry,126.0,618.0,997.0,0.0,1741.0
2017 Inauguration,1/20/2017,Fri,Arlington Cemetery,Exit,180.0,742.0,524.0,0.0,1446.0
2017 Inauguration,1/20/2017,Fri,Ballston,Entry,2902.0,2052.0,1479.0,743.0,7176.0
2017 Inauguration,1/20/2017,Fri,Ballston,Exit,806.0,2035.0,2708.0,1413.0,6962.0
2017 Inauguration,1/20/2017,Fri,Benning Road,Entry,613.0,560.0,288.0,159.0,1620.0
2017 Inauguration,1/20/2017,Fri,Benning Road,Exit,124.0,318.0,575.0,447.0,1464.0
2017 Inauguration,1/20/2017,Fri,Bethesda,Entry,2394.0,2163.0,2245.0,1167.0,7969.0
2017 Inauguration,1/20/2017,Fri,Bethesda,Exit,1519.0,2450.0,3096.0,1479.0,8544.0
2017 Inauguration,1/20/2017,Fri,Braddock Road,Entry,1601.0,973.0,539.0,277.0,3390.0
2017 Inauguration,1/20/2017,Fri,Braddock Road,Exit,301.0,1081.0,1340.0,744.0,3466.0
2017 Inauguration,1/20/2017,Fri,Branch Avenue,Entry,2224.0,775.0,436.0,190.0,3625.0
2017 Inauguration,1/20/2017,Fri,Branch Avenue,Exit,231.0,827.0,1630.0,802.0,3490.0
2017 Inauguration,1/20/2017,Fri,Brookland-CUA,Entry,1802.0,1356.0,1020.0,415.0,4593.0
2017 Inauguration,1/20/2017,Fri,Brookland-CUA,Exit,522.0,1653.0,1514.0,831.0,4520.0
2017 Inauguration,1/20/2017,Fri,Capital South,Entry,59.0,6724.0,2562.0,767.0,10112.0
2017 Inauguration,1/20/2017,Fri,Capital South,Exit,7478.0,3793.0,970.0,527.0,12768.0
2017 Inauguration,1/20/2017,Fri,Capitol Heights,Entry,454.0,328.0,150.0,88.0,1020.0
2017 Inauguration,1/20/2017,Fri,Capitol Heights,Exit,68.0,162.0,401.0,248.0,879.0
2017 Inauguration,1/20/2017,Fri,Cheverly,Entry,289.0,179.0,116.0,41.0,625.0
2017 Inauguration,1/20/2017,Fri,Cheverly,Exit,75.0,145.0,219.0,138.0,577.0
2017 Inauguration,1/20/2017,Fri,Clarendon,Entry,940.0,908.0,701.0,602.0,3151.0
2017 Inauguration,1/20/2017,Fri,Clarendon,Exit,277.0,1027.0,1426.0,859.0,3589.0
2017 Inauguration,1/20/2017,Fri,Cleveland Park,Entry,641.0,859.0,627.0,507.0,2634.0
2017 Inauguration,1/20/2017,Fri,Cleveland Park,Exit,165.0,817.0,1285.0,762.0,3029.0
2017 Inauguration,1/20/2017,Fri,College Park-U of Md,Entry,1488.0,998.0,670.0,215.0,3371.0
2017 Inauguration,1/20/2017,Fri,College Park-U of Md,Exit,300.0,1045.0,1203.0,702.0,3250.0
2017 Inauguration,1/20/2017,Fri,Columbia Heights,Entry,2103.0,2716.0,2370.0,1428.0,8617.0
2017 Inauguration,1/20/2017,Fri,Columbia Heights,Exit,1030.0,2942.0,3525.0,2550.0,10047.0
2017 Inauguration,1/20/2017,Fri,Congress Heights,Entry,480.0,453.0,219.0,121.0,1273.0
2017 Inauguration,1/20/2017,Fri,Congress Heights,Exit,126.0,175.0,424.0,308.0,1033.0
2017 Inauguration,1/20/2017,Fri,Court House,Entry,2032.0,1295.0,950.0,471.0,4748.0
2017 Inauguration,1/20/2017,Fri,Court House,Exit,335.0,1375.0,1791.0,1072.0,4573.0
2017 Inauguration,1/20/2017,Fri,Crystal City,Entry,5537.0,2233.0,1456.0,888.0,10114.0
2017 Inauguration,1/20/2017,Fri,Crystal City,Exit,623.0,3942.0,3482.0,1663.0,9710.0
2017 Inauguration,1/20/2017,Fri,Deanwood,Entry,294.0,237.0,124.0,73.0,728.0
2017 Inauguration,1/20/2017,Fri,Deanwood,Exit,70.0,167.0,230.0,156.0,623.0
2017 Inauguration,1/20/2017,Fri,Dunn Loring,Entry,1825.0,839.0,427.0,240.0,3331.0
2017 Inauguration,1/20/2017,Fri,Dunn Loring,Exit,255.0,895.0,1359.0,744.0,3253.0
2017 Inauguration,1/20/2017,Fri,Dupont Circle,Entry,3863.0,4602.0,3738.0,2844.0,15047.0
2017 Inauguration,1/20/2017,Fri,Dupont Circle,Exit,3259.0,6288.0,5451.0,3016.0,18014.0
2017 Inauguration,1/20/2017,Fri,East Falls Church,Entry,1917.0,1070.0,549.0,251.0,3787.0
2017 Inauguration,1/20/2017,Fri,East Falls Church,Exit,148.0,1009.0,1830.0,873.0,3860.0
2017 Inauguration,1/20/2017,Fri,Eastern Market,Entry,949.0,1853.0,1240.0,936.0,4978.0
2017 Inauguration,1/20/2017,Fri,Eastern Market,Exit,614.0,1481.0,1834.0,971.0,4900.0
2017 Inauguration,1/20/2017,Fri,Eisenhower,Entry,1330.0,531.0,336.0,159.0,2356.0
2017 Inauguration,1/20/2017,Fri,Eisenhower,Exit,101.0,625.0,761.0,440.0,1927.0
2017 Inauguration,1/20/2017,Fri,Farragut North,Entry,1274.0,3417.0,5263.0,1732.0,11686.0
2017 Inauguration,1/20/2017,Fri,Farragut North,Exit,3004.0,4088.0,1768.0,774.0,9634.0
2017 Inauguration,1/20/2017,Fri,Farragut West,Entry,980.0,3627.0,5975.0,1587.0,12169.0
2017 Inauguration,1/20/2017,Fri,Farragut West,Exit,2581.0,3217.0,1339.0,591.0,7728.0
2017 Inauguration,1/20/2017,Fri,Federal Center,Entry,588.0,8220.0,1597.0,460.0,10865.0
2017 Inauguration,1/20/2017,Fri,Federal Center,Exit,16869.0,6710.0,348.0,197.0,24124.0
2017 Inauguration,1/20/2017,Fri,Federal Triangle,Entry,0.0,0.0,0.0,0.0,0.0
